"Item ID","Item Name","Question ID","Associated Question ID","Total Points","Question Type",Question,"Position Number",Sub-Question,"Answer Option","Answer Breakdown","Answer Breakdown","Correct Answer","Correctly Answered","Most Points Earned","Least Points Earned","Average Points Earned"
8355502810,"FAST STAR Reading Practice Assessment",2268411018,,1,"Multiple Choice","Which of these would be the title of a text with facts about turtles?",n/a,n/a,"a. The Talking Turtles",3,0.14,"b. All About Turtles",0.71,1,0,0.71
8355502810,"FAST STAR Reading Practice Assessment",2268411018,,1,"Multiple Choice","Which of these would be the title of a text with facts about turtles?",n/a,n/a,"b. All About Turtles",15,0.71,"b. All About Turtles",0.71,1,0,0.71
8355502810,"FAST STAR Reading Practice Assessment",2268411018,,1,"Multiple Choice","Which of these would be the title of a text with facts about turtles?",n/a,n/a,"c. The Turtle that Loved to Dance",3,0.14,"b. All About Turtles",0.71,1,0,0.71
8355502810,"FAST STAR Reading Practice Assessment",2268411019,,1,"Multiple Choice","Melissa loved to dance. She would dance every day. She loved to make up her own dances. She wanted to be a famous dancer one day. What is the story about?",n/a,n/a,"a. Melissa's family",4,0.19,"b. Melissa's hobby",0.81,1,0,0.81
8355502810,"FAST STAR Reading Practice Assessment",2268411019,,1,"Multiple Choice","Melissa loved to dance. She would dance every day. She loved to make up her own dances. She wanted to be a famous dancer one day. What is the story about?",n/a,n/a,"b. Melissa's hobby",17,0.81,"b. Melissa's hobby",0.81,1,0,0.81
8355502810,"FAST STAR Reading Practice Assessment",2268411019,,1,"Multiple Choice","Melissa loved to dance. She would dance every day. She loved to make up her own dances. She wanted to be a famous dancer one day. What is the story about?",n/a,n/a,"c. Melissa's pets",0,0,"b. Melissa's hobby",0.81,1,0,0.81
8355502810,"FAST STAR Reading Practice Assessment",2268411020,,1,"Multiple Choice","The friends _____________ to each other after school.",n/a,n/a,"a. talks",6,0.29,"b. talked",0.62,1,0,0.62
8355502810,"FAST STAR Reading Practice Assessment",2268411020,,1,"Multiple Choice","The friends _____________ to each other after school.",n/a,n/a,"b. talked",13,0.62,"b. talked",0.62,1,0,0.62
8355502810,"FAST STAR Reading Practice Assessment",2268411020,,1,"Multiple Choice","The friends _____________ to each other after school.",n/a,n/a,"c. talking",2,0.1,"b. talked",0.62,1,0,0.62
8355502810,"FAST STAR Reading Practice Assessment",2268411021,,1,"Multiple Choice","Doing chores is a nice thing to do. You can make your bed. You can clean your room. You can help keep your house clean. What is the topic of the text?",n/a,n/a,"a. being helpful",20,0.95,"a. being helpful",0.95,1,0,0.95
8355502810,"FAST STAR Reading Practice Assessment",2268411021,,1,"Multiple Choice","Doing chores is a nice thing to do. You can make your bed. You can clean your room. You can help keep your house clean. What is the topic of the text?",n/a,n/a,"b. being smart",1,0.05,"a. being helpful",0.95,1,0,0.95
8355502810,"FAST STAR Reading Practice Assessment",2268411021,,1,"Multiple Choice","Doing chores is a nice thing to do. You can make your bed. You can clean your room. You can help keep your house clean. What is the topic of the text?",n/a,n/a,"c. being messy",0,0,"a. being helpful",0.95,1,0,0.95
8355502810,"FAST STAR Reading Practice Assessment",2268411022,,1,"Multiple Choice","Reading books is a lot of fun. You can read about real things or made up things. You will learn a lot when you read. Reading books is a fun hobby. What does the author thinkn about reading?",n/a,n/a,"a. Reading is hard.",0,0,"b. Reading is fun.",1,1,1,1
8355502810,"FAST STAR Reading Practice Assessment",2268411022,,1,"Multiple Choice","Reading books is a lot of fun. You can read about real things or made up things. You will learn a lot when you read. Reading books is a fun hobby. What does the author thinkn about reading?",n/a,n/a,"b. Reading is fun.",21,1,"b. Reading is fun.",1,1,1,1
8355502810,"FAST STAR Reading Practice Assessment",2268411022,,1,"Multiple Choice","Reading books is a lot of fun. You can read about real things or made up things. You will learn a lot when you read. Reading books is a fun hobby. What does the author thinkn about reading?",n/a,n/a,"c. Reading is boring.",0,0,"b. Reading is fun.",1,1,1,1
8355502810,"FAST STAR Reading Practice Assessment",2268411023,,1,"Multiple Choice","The word bat can mean a type of animal. Which sentence uses the word with this meaning?",n/a,n/a,"a. I hit the ball with my baseball bat.",7,0.33,"b. We saw a bat inside the cave.",0.62,1,0,0.62
8355502810,"FAST STAR Reading Practice Assessment",2268411023,,1,"Multiple Choice","The word bat can mean a type of animal. Which sentence uses the word with this meaning?",n/a,n/a,"b. We saw a bat inside the cave.",13,0.62,"b. We saw a bat inside the cave.",0.62,1,0,0.62
8355502810,"FAST STAR Reading Practice Assessment",2268411023,,1,"Multiple Choice","The word bat can mean a type of animal. Which sentence uses the word with this meaning?",n/a,n/a,"c. I tried to bat away the flies.",1,0.05,"b. We saw a bat inside the cave.",0.62,1,0,0.62
8355502810,"FAST STAR Reading Practice Assessment",2268411024,,1,"Multiple Choice","My name is Natalie. I love to play with my legos. I got a new doll today from my grandmother. I like to dress it up and play with it all day long. Who is telling the story?",n/a,n/a,"a. Natalie",18,0.86,"a. Natalie",0.86,1,0,0.86
8355502810,"FAST STAR Reading Practice Assessment",2268411024,,1,"Multiple Choice","My name is Natalie. I love to play with my legos. I got a new doll today from my grandmother. I like to dress it up and play with it all day long. Who is telling the story?",n/a,n/a,"b. Natalie's grandmother",3,0.14,"a. Natalie",0.86,1,0,0.86
8355502810,"FAST STAR Reading Practice Assessment",2268411024,,1,"Multiple Choice","My name is Natalie. I love to play with my legos. I got a new doll today from my grandmother. I like to dress it up and play with it all day long. Who is telling the story?",n/a,n/a,"c. Natalie's doll",0,0,"a. Natalie",0.86,1,0,0.86
8355502810,"FAST STAR Reading Practice Assessment",2268411025,,1,"Multiple Choice","The bright sun shines _______.",n/a,n/a,"a. day",8,0.38,"b. down",0.48,1,0,0.48
8355502810,"FAST STAR Reading Practice Assessment",2268411025,,1,"Multiple Choice","The bright sun shines _______.",n/a,n/a,"b. down",10,0.48,"b. down",0.48,1,0,0.48
8355502810,"FAST STAR Reading Practice Assessment",2268411025,,1,"Multiple Choice","The bright sun shines _______.",n/a,n/a,"c. heat",3,0.14,"b. down",0.48,1,0,0.48
8355502810,"FAST STAR Reading Practice Assessment",2268411026,,1,"Multiple Choice","The birds chirp -- Singing with might,dancing about in the Morning Light. After which word is there a line break?",n/a,n/a,"a. chirp",17,0.81,"b. might",0.14,1,0,0.14
8355502810,"FAST STAR Reading Practice Assessment",2268411026,,1,"Multiple Choice","The birds chirp -- Singing with might,dancing about in the Morning Light. After which word is there a line break?",n/a,n/a,"b. might",3,0.14,"b. might",0.14,1,0,0.14
8355502810,"FAST STAR Reading Practice Assessment",2268411026,,1,"Multiple Choice","The birds chirp -- Singing with might,dancing about in the Morning Light. After which word is there a line break?",n/a,n/a,"c. dancing",1,0.05,"b. might",0.14,1,0,0.14
8355502810,"FAST STAR Reading Practice Assessment",2268411027,,1,"Multiple Choice","Mike loved baking. One day, Mike decided to make a cake for his sister. It was her birthday. Mike made a huge cake with pink icing. What is Mike like?",n/a,n/a,"a. shy",0,0,"c. kind",0.81,1,0,0.81
8355502810,"FAST STAR Reading Practice Assessment",2268411027,,1,"Multiple Choice","Mike loved baking. One day, Mike decided to make a cake for his sister. It was her birthday. Mike made a huge cake with pink icing. What is Mike like?",n/a,n/a,"b. smart",4,0.19,"c. kind",0.81,1,0,0.81
8355502810,"FAST STAR Reading Practice Assessment",2268411027,,1,"Multiple Choice","Mike loved baking. One day, Mike decided to make a cake for his sister. It was her birthday. Mike made a huge cake with pink icing. What is Mike like?",n/a,n/a,"c. kind",17,0.81,"c. kind",0.81,1,0,0.81
8355502810,"FAST STAR Reading Practice Assessment",2268411028,,1,"Multiple Choice","The mouse was brown. What does the word brown tell?",n/a,n/a,"a. what the mouse looked like",20,0.95,"a. what the mouse looked like",0.95,1,0,0.95
8355502810,"FAST STAR Reading Practice Assessment",2268411028,,1,"Multiple Choice","The mouse was brown. What does the word brown tell?",n/a,n/a,"b. where the mouse was",0,0,"a. what the mouse looked like",0.95,1,0,0.95
8355502810,"FAST STAR Reading Practice Assessment",2268411028,,1,"Multiple Choice","The mouse was brown. What does the word brown tell?",n/a,n/a,"c. how the mouse sounded",1,0.05,"a. what the mouse looked like",0.95,1,0,0.95
8355502810,"FAST STAR Reading Practice Assessment",2268411029,,1,"Multiple Choice","This photograph is in a text about caring for chickens. <https://app.schoology.com/system/files/https%3A/%252Faaota.schoology.com/system/files/attachments/page_embeds/m/2025-04/Screenshot_2025-04-25_at_9.41.33_PM_680c39dac78fd.png> Which sentence is about what is shown?",n/a,n/a,"a. Chickens will lay eggs.",1,0.05,"c. Chickens need a safe place to live.",0.95,1,0,0.95
