check_name,school_id,question_id,answer_submission,drift_type,cube_students,fact_students,cube_score,fact_score,cube_possible,fact_possible
cube_questionincorrectchoice_summary,019eb11c-413c-7ed9-872e-0fe5e9a947b6,2165638528,2 Lines of Symmetry,STALE_CUBE_ROW,12,,21.5000,,22.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2235086115,28,STALE_CUBE_ROW,1,,0.0000,,4.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2235086089,,STALE_CUBE_ROW,15,,14.3333,,15.0000,
cube_questionincorrectchoice_summary,019eb11c-413c-7ed9-872e-0fe5e9a947b6,2165638531,d. D,STALE_CUBE_ROW,1,,0.5000,,1.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2235086090,c. 72-35=□,STALE_CUBE_ROW,15,,14.0000,,15.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2185175215,,STALE_CUBE_ROW,11,,6.0000,,11.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2228672422,,VALUE_DRIFT,14,14,28.0000,14.0000,28.0000,14.0000
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2235086107,2,STALE_CUBE_ROW,1,,0.0000,,1.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2185175233,c. <https://app.schoology.com/system/fil,STALE_CUBE_ROW,4,,0.0000,,4.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2228672419,55,STALE_CUBE_ROW,14,,14.0000,,14.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2185175224,,VALUE_DRIFT,11,11,18.0000,9.0000,22.0000,11.0000
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2185175192,,VALUE_DRIFT,11,11,12.0000,6.0000,22.0000,11.0000
cube_questionincorrectchoice_summary,019eb11c-413c-7ed9-872e-0fe5e9a947b6,2269067748,n/a,STALE_CUBE_ROW,1,,1.0000,,1.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2185175192,,STALE_CUBE_ROW,11,,6.0000,,11.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2235086094,27,STALE_CUBE_ROW,13,,50.6668,,52.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2235086107,,STALE_CUBE_ROW,14,,8.5000,,14.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2228672423,,STALE_CUBE_ROW,14,,9.6668,,14.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2235086107,n/a,STALE_CUBE_ROW,5,,0.0000,,5.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2185175188,d. The smaller forest will provide bette,STALE_CUBE_ROW,1,,0.0000,,1.0000,
cube_questionincorrectchoice_summary,019eb11c-413c-7ed9-872e-0fe5e9a947b6,2269067751,,STALE_CUBE_ROW,16,,16.0000,,16.0000,
cube_questionincorrectchoice_summary,019eb11c-413c-7ed9-872e-0fe5e9a947b6,2269067746,n/a,STALE_CUBE_ROW,1,,2.0000,,2.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2228672427,n/a,STALE_CUBE_ROW,14,,14.0000,,14.0000,
cube_questionincorrectchoice_summary,019eb11c-413c-7ed9-872e-0fe5e9a947b6,2269067746,Halves,STALE_CUBE_ROW,1,,1.0000,,1.0000,
cube_questionincorrectchoice_summary,019eb11c-413c-7ed9-872e-0fe5e9a947b6,2269067746,,STALE_CUBE_ROW,16,,16.0000,,16.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2228672424,,STALE_CUBE_ROW,14,,54.6668,,56.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2235086113,19,STALE_CUBE_ROW,1,,2.6668,,4.0000,
cube_questionincorrectchoice_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,2185175197,n/a,STALE_CUBE_ROW,1,,0.0000,,1.0000,
cube_questionincorrectchoice_summary,019eb11c-413c-7ed9-872e-0fe5e9a947b6,2269067745,b. <https://app.schoology.com/system/fil,STALE_CUBE_ROW,1,,0.0000,,1.0000,
