check_name,school_id,subject_id,question_no,position_number,standards,drift_type,cube_score,fact_score,cube_possible,fact_possible
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,1cb82c7bab46cbcc82c6c2e2b39360c42da660b8bf3c2b84a609699ac62b7a6a,2,1,MA.6.MAFS.6.SP.2.5.c,STALE_CUBE_ROW,20.0000,,20.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,9dfd47961f78cda8d9695c9dd3a1a530c3d81b8ef65c5fb5b802bd221cefad14,9,n/a,MA.K.NSO.1.2,VALUE_DRIFT,42.0000,61.0000,42.0000,61.0000
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,1cb82c7bab46cbcc82c6c2e2b39360c42da660b8bf3c2b84a609699ac62b7a6a,11,n/a,MA.6.MAFS.6.SP.2.4,VALUE_DRIFT,3.0000,8.0000,6.0000,13.0000
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,9bd8f632236b0acd026a691a3e75b902c4c04155931cf1371fa8313464c25535,8,n/a,SCI.3.SC.3.L.14.2,STALE_CUBE_ROW,19.0000,,20.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,9bd8f632236b0acd026a691a3e75b902c4c04155931cf1371fa8313464c25535,9,n/a,SCI.3.SC.3.L.14.1,STALE_CUBE_ROW,14.0000,,20.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,8ff7d3c471464bf6f707fa164f14a332257879a9d8ef2ce966a4b05d1a22276d,9,n/a,SOC.7.SS.7.C.3.14,STALE_CUBE_ROW,5.0000,,5.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,1cb82c7bab46cbcc82c6c2e2b39360c42da660b8bf3c2b84a609699ac62b7a6a,12,n/a,MA.6.MAFS.6.SP.1.2,STALE_CUBE_ROW,1.0000,,2.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,1cb82c7bab46cbcc82c6c2e2b39360c42da660b8bf3c2b84a609699ac62b7a6a,17,n/a,MA.6.MAFS.6.SP.2.5.c,VALUE_DRIFT,1.0000,4.0000,2.0000,9.0000
cube_question_summary_overall,019eb11c-413b-7a66-a7d8-a18f14736ede,3047dc225659950d4163e02e054092b0267bf829dbe0a7375e08229a7e8aa83d,1,n/a,SCI.4.SC.4.L.17.4,STALE_CUBE_ROW,5.0000,,11.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,9bd8f632236b0acd026a691a3e75b902c4c04155931cf1371fa8313464c25535,18,n/a,SCI.3.SC.3.L.14.2,STALE_CUBE_ROW,16.0000,,20.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,1cb82c7bab46cbcc82c6c2e2b39360c42da660b8bf3c2b84a609699ac62b7a6a,12,n/a,MA.6.MAFS.6.SP.1.2,STALE_CUBE_ROW,1.0000,,1.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,9dfd47961f78cda8d9695c9dd3a1a530c3d81b8ef65c5fb5b802bd221cefad14,2,n/a,MA.K.NSO.3.1,VALUE_DRIFT,40.0000,58.0000,42.0000,61.0000
cube_question_summary_overall,019eb11c-413b-7a66-a7d8-a18f14736ede,ac37ee2bfb7dd9ee549eb48c6e3ecdc90df460bb0c15d5180e5df85a198eadd6,3,1,MA.2.NSO.2.3,STALE_CUBE_ROW,37.5000,,43.0000,
cube_question_summary_overall,019eb11c-413c-7ed9-872e-0fe5e9a947b6,d6885dcaa7c6c9bd62796b6eae7685df775d93bb36d3d14232e34d89e947c020,7,1,MA.3.GR.1.2,VALUE_DRIFT,14.0000,26.0000,14.0000,27.0000
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,8ff7d3c471464bf6f707fa164f14a332257879a9d8ef2ce966a4b05d1a22276d,16,n/a,SOC.7.SS.7.C.2.13,STALE_CUBE_ROW,17.0000,,18.0000,
cube_question_summary_overall,019eb11c-413c-7ed9-872e-0fe5e9a947b6,d6885dcaa7c6c9bd62796b6eae7685df775d93bb36d3d14232e34d89e947c020,9,1,MA.3.GR.1,VALUE_DRIFT,12.3335,23.6668,14.0000,27.0000
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,1cb82c7bab46cbcc82c6c2e2b39360c42da660b8bf3c2b84a609699ac62b7a6a,11,n/a,MA.6.MAFS.6.SP.2.4,VALUE_DRIFT,2.0000,5.0000,2.0000,7.0000
cube_question_summary_overall,019eb11c-413b-7a66-a7d8-a18f14736ede,3047dc225659950d4163e02e054092b0267bf829dbe0a7375e08229a7e8aa83d,3,n/a,SCI.4.SC.4.L.17.4,STALE_CUBE_ROW,6.0000,,11.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,9bd8f632236b0acd026a691a3e75b902c4c04155931cf1371fa8313464c25535,11,n/a,SCI.3.SC.3.L.14.1,STALE_CUBE_ROW,15.0000,,20.0000,
cube_question_summary_overall,019eb11c-413b-7a66-a7d8-a18f14736ede,3047dc225659950d4163e02e054092b0267bf829dbe0a7375e08229a7e8aa83d,11,n/a,SCI.4.SC.4.L.17.2,STALE_CUBE_ROW,9.0000,,11.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,8ff7d3c471464bf6f707fa164f14a332257879a9d8ef2ce966a4b05d1a22276d,20,n/a,SS.7.E.1.5,STALE_CUBE_ROW,4.0000,,4.0000,
cube_question_summary_overall,019eb11c-413c-7ed9-872e-0fe5e9a947b6,db4bf6655b5b7024fb07d171e484028e612e82e080987814c3e80730a8ac439e,6,n/a,MA.2.FR.1.1,STALE_CUBE_ROW,15.0000,,16.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,1cb82c7bab46cbcc82c6c2e2b39360c42da660b8bf3c2b84a609699ac62b7a6a,13,1,MA.6.MAFS.6.SP.2.4,VALUE_DRIFT,13.3333,27.3333,17.0000,37.0000
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,8ff7d3c471464bf6f707fa164f14a332257879a9d8ef2ce966a4b05d1a22276d,18,n/a,SOC.7.SS.7.C.2.3,STALE_CUBE_ROW,0.0000,,1.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,1cb82c7bab46cbcc82c6c2e2b39360c42da660b8bf3c2b84a609699ac62b7a6a,18,n/a,MA.6.MAFS.6.SP.1.3,VALUE_DRIFT,6.0000,11.0000,7.0000,12.0000
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,9bd8f632236b0acd026a691a3e75b902c4c04155931cf1371fa8313464c25535,14,n/a,SCI.3.SC.3.L.14.1,VALUE_DRIFT,41.0000,59.0000,42.0000,62.0000
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,9bd8f632236b0acd026a691a3e75b902c4c04155931cf1371fa8313464c25535,10,n/a,SCI.3.SC.3.L.14.1,VALUE_DRIFT,21.0000,25.0000,22.0000,42.0000
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,1cb82c7bab46cbcc82c6c2e2b39360c42da660b8bf3c2b84a609699ac62b7a6a,7,n/a,MA.6.MAFS.6.SP.2.5.c,STALE_CUBE_ROW,5.0000,,7.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,1cb82c7bab46cbcc82c6c2e2b39360c42da660b8bf3c2b84a609699ac62b7a6a,12,n/a,MA.6.MAFS.6.SP.1.2,VALUE_DRIFT,1.0000,3.0000,1.0000,3.0000
cube_question_summary_overall,019eb11c-413b-7a66-a7d8-a18f14736ede,3047dc225659950d4163e02e054092b0267bf829dbe0a7375e08229a7e8aa83d,2,n/a,SCI.4.SC.4.L.17.4,VALUE_DRIFT,18.0000,22.0000,36.0000,47.0000
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,9dfd47961f78cda8d9695c9dd3a1a530c3d81b8ef65c5fb5b802bd221cefad14,2,n/a,MA.K.NSO.3.1,STALE_CUBE_ROW,18.0000,,19.0000,
cube_question_summary_overall,019eb11c-413c-7ed9-872e-0fe5e9a947b6,db4bf6655b5b7024fb07d171e484028e612e82e080987814c3e80730a8ac439e,7,n/a,MA.2.FR.1.2,STALE_CUBE_ROW,15.5000,,16.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,1cb82c7bab46cbcc82c6c2e2b39360c42da660b8bf3c2b84a609699ac62b7a6a,7,n/a,MA.6.MAFS.6.SP.2.5.c,STALE_CUBE_ROW,2.0000,,3.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,8ff7d3c471464bf6f707fa164f14a332257879a9d8ef2ce966a4b05d1a22276d,37,n/a,SOC.7.SS.7.C.3.10,STALE_CUBE_ROW,4.0000,,5.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,9dfd47961f78cda8d9695c9dd3a1a530c3d81b8ef65c5fb5b802bd221cefad14,11,n/a,MA.K.NSO.2.2,STALE_CUBE_ROW,14.0000,,19.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,1cb82c7bab46cbcc82c6c2e2b39360c42da660b8bf3c2b84a609699ac62b7a6a,12,n/a,MA.6.MAFS.6.SP.1.2,VALUE_DRIFT,0.5000,1.5000,1.0000,3.0000
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,8ff7d3c471464bf6f707fa164f14a332257879a9d8ef2ce966a4b05d1a22276d,22,n/a,SOC.7.SS.7.C.3.14,STALE_CUBE_ROW,17.0000,,18.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,8ff7d3c471464bf6f707fa164f14a332257879a9d8ef2ce966a4b05d1a22276d,39,n/a,SOC.7.SS.7.C.3.8,STALE_CUBE_ROW,6.0000,,6.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,1cb82c7bab46cbcc82c6c2e2b39360c42da660b8bf3c2b84a609699ac62b7a6a,22,1,MA.6.MAFS.6.SP.1.3,VALUE_DRIFT,14.0000,31.0000,17.0000,37.0000
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,7d05f8dffe7639f2bdaaf1852c81fa54dbcd29ae28c99f36950bcacb837fc861,11,n/a,MA.4.M.2.1,STALE_CUBE_ROW,16.0000,,21.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,8ff7d3c471464bf6f707fa164f14a332257879a9d8ef2ce966a4b05d1a22276d,15,n/a,SOC.7.SS.7.C.2.10,STALE_CUBE_ROW,14.0000,,18.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,8ff7d3c471464bf6f707fa164f14a332257879a9d8ef2ce966a4b05d1a22276d,20,n/a,SS.7.E.1.5,STALE_CUBE_ROW,6.0000,,7.0000,
cube_question_summary_overall,019eb11c-410a-7ffb-86e6-a0294c669670,1cb82c7bab46cbcc82c6c2e2b39360c42da660b8bf3c2b84a609699ac62b7a6a,16,1,MA.6.MAFS.6.SP.2.5.c,VALUE_DRIFT,13.0000,33.0000,17.0000,37.0000
